nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
7,210,Sergio Agüero,Man City,Everton,0.7366072798261469
7,338,Harry Kane,Tottenham,Southampton,0.7005743998380471
7,215,Kevin De Bruyne,Man City,Everton,0.6650545154087348
7,218,Bernardo Mota Veiga de Carvalho e Silva,Man City,Everton,0.6295417593780006
7,217,Riyad Mahrez,Man City,Everton,0.6196229692057728
7,219,David Silva,Man City,Everton,0.60401922032953
7,460,Tammy Abraham,Chelsea,Brighton,0.5895735922602557
7,212,Ederson Santana de Moraes,Man City,Everton,0.5882357570749899
7,192,Sadio Mané,Liverpool,Sheff Utd,0.5671889496099684
7,417,Adama Traoré,Wolves,Watford,0.5536560489009411
7,203,Kyle Walker,Man City,Everton,0.551010445546896
7,410,Diogo Jota,Wolves,Watford,0.5426960213403919
7,111,Kepa Arrizabalaga,Chelsea,Brighton,0.5299185253360619
7,166,Jamie Vardy,Leicester,Newcastle,0.5114305231613586
7,342,Heung-Min Son,Tottenham,Southampton,0.491723061402406
7,191,Mohamed Salah,Liverpool,Sheff Utd,0.4872025527263899
7,105,César Azpilicueta,Chelsea,Brighton,0.4823651898490065
7,463,Mason Mount,Chelsea,Brighton,0.4791025239555087
7,341,Paulo Gazzaniga,Tottenham,Southampton,0.4601061247047477
7,411,Rui Pedro dos Santos Patrício,Wolves,Watford,0.4543018107681582
7,208,Nicolás Otamendi,Man City,Everton,0.4460188957334335
7,343,Christian Eriksen,Tottenham,Southampton,0.44208278543158575
7,402,Jonathan Castro Otto,Wolves,Watford,0.4416775724352967
7,11,Pierre-Emerick Aubameyang,Arsenal,Man Utd,0.44042626485837805
7,529,Fikayo Tomori,Chelsea,Brighton,0.4383610912336888
7,171,James Maddison,Leicester,Newcastle,0.4356655633301053
7,403,Conor Coady,Wolves,Watford,0.4307565981451323
7,91,Chris Wood,Burnley,Aston Villa,0.4304382277844505
7,405,Willy Boly,Wolves,Watford,0.4290539868902823
7,119,N'Golo Kanté,Chelsea,Brighton,0.4230043504978053
7,420,Leander Dendoncker,Wolves,Watford,0.42111878678938425
7,415,João Filipe Iria Santos Moutinho,Wolves,Watford,0.4186939348454438
7,159,Ricardo Domingos Barbosa Pereira,Leicester,Newcastle,0.41675543294920653
7,409,Raúl Jiménez,Wolves,Watford,0.4127346236047258
7,164,Çaglar Söyüncü,Leicester,Newcastle,0.4085055063875923
7,262,Martin Dubravka,Newcastle,Leicester,0.40558866816563066
7,443,Rodrigo Hernandez,Man City,Everton,0.4019278441859148
7,278,Teemu Pukki,Norwich,Crystal Palace,0.3944842658303007
7,162,Jonny Evans,Leicester,Newcastle,0.3944073935103536
7,68,Joshua King,Bournemouth,West Ham,0.3904944019804024
7,346,Erik Lamela,Tottenham,Southampton,0.3900034789638908
7,265,Ayoze Pérez,Leicester,Newcastle,0.3851505744258459
7,258,Jamaal Lascelles,Newcastle,Leicester,0.38451894356116345
7,168,Kasper Schmeichel,Leicester,Newcastle,0.3805001406001297
7,107,Emerson Palmieri dos Santos,Chelsea,Brighton,0.3792944192447268
7,183,Virgil van Dijk,Liverpool,Sheff Utd,0.3768253822299256
7,256,Javier Manquillo,Newcastle,Leicester,0.3760210016940603
7,113,Willian Borges Da Silva,Chelsea,Brighton,0.37401556995355656
7,432,Mateo Kovacic,Chelsea,Brighton,0.369680840338376
7,118,Jorge Luiz Frello Filho,Chelsea,Brighton,0.35712057523237045
7,122,Aaron Wan-Bissaka,Man Utd,Arsenal,0.3567741123023818
7,176,Wilfred Ndidi,Leicester,Newcastle,0.35273572729848696
7,363,Gerard Deulofeu,Watford,Wolves,0.3504515378281701
7,331,Toby Alderweireld,Tottenham,Southampton,0.3493819052255586
7,134,Luka Milivojevic,Crystal Palace,Norwich,0.34831664591936107
7,332,Danny Rose,Tottenham,Southampton,0.34564370763334706
7,233,Marcus Rashford,Man Utd,Arsenal,0.3441543631014913
7,252,Fabian Schär,Newcastle,Leicester,0.3418620568715069
7,345,Lucas Rodrigues Moura da Silva,Tottenham,Southampton,0.3361340358048346
7,276,Jamal Lewis,Norwich,Crystal Palace,0.33132614052559595
7,101,Ashley Westwood,Burnley,Aston Villa,0.3307472327952629
7,131,Vicente Guaita,Crystal Palace,Norwich,0.3287005519785789
7,85,Matthew Lowton,Burnley,Aston Villa,0.3278569709439268
7,187,Roberto Firmino,Liverpool,Sheff Utd,0.32634401339929064
7,97,Dwight McNeil,Burnley,Aston Villa,0.3258296768866129
7,160,Harry Maguire,Man Utd,Arsenal,0.3253253093699056
7,181,Andrew Robertson,Liverpool,Sheff Utd,0.3218279838006969
7,123,Patrick van Aanholt,Crystal Palace,Norwich,0.31755944585430906
7,243,Daniel James,Man Utd,Arsenal,0.31562157758005444
7,330,Jan Vertonghen,Tottenham,Southampton,0.3144903173218471
7,503,Gary Cahill,Crystal Palace,Norwich,0.3118409792463769
7,255,Paul Dummett,Newcastle,Leicester,0.3080950087470009
7,93,Nick Pope,Burnley,Aston Villa,0.3073567395838844
7,161,Benjamin Chilwell,Leicester,Newcastle,0.3054334772257354
7,287,Todd Cantwell,Norwich,Crystal Palace,0.30271417114091625
7,235,David de Gea,Man Utd,Arsenal,0.30123142182194584
7,47,Mathew Ryan,Brighton,Chelsea,0.2994705512292441
7,224,Ashley Young,Man Utd,Arsenal,0.2975853383317725
7,475,Dan Burn,Brighton,Chelsea,0.2969399964815569
7,488,Nicolas Pépé,Arsenal,Man Utd,0.29669808073555964
7,368,Abdoulaye Doucouré,Watford,Wolves,0.2953604367666956
7,31,John McGinn,Aston Villa,Burnley,0.2951872563977388
7,67,Callum Wilson,Bournemouth,West Ham,0.2937381187682088
7,103,Marcos Alonso,Chelsea,Brighton,0.2922059234905619
7,442,Tanguy Ndombele,Tottenham,Southampton,0.2893951798701204
7,225,Victor Lindelöf,Man Utd,Arsenal,0.2890219938409903
7,283,Emiliano Buendía,Norwich,Crystal Palace,0.28836450095214383
7,353,José Holebas,Watford,Wolves,0.2866289595516904
7,493,Adam Webster,Brighton,Chelsea,0.28571076054934225
7,454,Sam Byram,Norwich,Crystal Palace,0.285573414569392
7,280,Tim Krul,Norwich,Crystal Palace,0.28455118870769674
7,126,Joel Ward,Crystal Palace,Norwich,0.2838479824511354
