nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
29,191,Mohamed Salah,Liverpool,Bournemouth,0.7783891329928445
29,192,Sadio Mané,Liverpool,Bournemouth,0.7309749775633699
28,210,Sergio Agüero,Man City,Arsenal,0.7210455849403723
29,187,Roberto Firmino,Liverpool,Bournemouth,0.6675991022477173
28,11,Pierre-Emerick Aubameyang,Arsenal,West Ham,0.6569911652734449
29,183,Virgil van Dijk,Liverpool,Bournemouth,0.6367009652934276
29,189,Alisson Ramses Becker,Liverpool,Bournemouth,0.6245266177237454
28,210,Sergio Agüero,Man City,Man Utd,0.6144155180200501
28,488,Nicolas Pépé,Arsenal,West Ham,0.6079431307098466
29,618,Bruno Miguel Borges Fernandes,Man Utd,West Ham,0.5996749209262779
29,181,Andrew Robertson,Liverpool,Bournemouth,0.5978344185309195
29,159,Ricardo Domingos Barbosa Pereira,Leicester,Aston Villa,0.5949127748324613
29,171,James Maddison,Leicester,Aston Villa,0.5943790241575266
29,265,Ayoze Pérez,Leicester,Aston Villa,0.5729748362988427
29,172,Harvey Barnes,Leicester,Aston Villa,0.5710819531799821
29,182,Trent Alexander-Arnold,Liverpool,Bournemouth,0.5565360116593937
29,164,Çaglar Söyüncü,Leicester,Aston Villa,0.5460144693338898
28,212,Ederson Santana de Moraes,Man City,Man Utd,0.5445555297388085
29,323,Stuart Armstrong,Southampton,Newcastle,0.5294428487505594
29,307,Jan Bednarek,Southampton,Newcastle,0.5263473312685645
28,212,Ederson Santana de Moraes,Man City,Arsenal,0.5147133972403398
29,318,Alex McCarthy,Southampton,Newcastle,0.4704966274475943
29,131,Vicente Guaita,Crystal Palace,Watford,0.4674537356219373
29,506,Reece James,Chelsea,Everton,0.4669885744027776
29,168,Kasper Schmeichel,Leicester,Aston Villa,0.4663768456760151
28,203,Kyle Walker,Man City,Man Utd,0.464897070212496
28,11,Pierre-Emerick Aubameyang,Arsenal,Man City,0.4459009883226901
28,215,Kevin De Bruyne,Man City,Arsenal,0.4457411268993025
29,401,Matt Doherty,Wolves,Brighton,0.4419311852519957
29,315,Shane Long,Southampton,Newcastle,0.4390330938430321
29,167,Kelechi Iheanacho,Leicester,Aston Villa,0.4354718769214381
29,239,Anthony Martial,Man Utd,West Ham,0.434432139112073
28,501,Oliver McBurnie,Sheff Utd,Norwich,0.4312098359057866
29,161,Benjamin Chilwell,Leicester,Aston Villa,0.4272593673819163
29,162,Jonny Evans,Leicester,Aston Villa,0.427015720565761
28,203,Kyle Walker,Man City,Arsenal,0.42481784009216456
29,235,David de Gea,Man Utd,West Ham,0.4243480472868147
29,615,Steven Bergwijn,Tottenham,Burnley,0.42105779504329577
28,217,Riyad Mahrez,Man City,Arsenal,0.4188738716059237
29,110,Olivier Giroud,Chelsea,Everton,0.4107405734989528
28,295,John Egan,Sheff Utd,Norwich,0.4105282665135277
28,471,Dean Henderson,Sheff Utd,Norwich,0.408442060061764
28,217,Riyad Mahrez,Man City,Man Utd,0.4078068347759304
29,409,Raúl Jiménez,Wolves,Brighton,0.4048376580024881
29,305,Ryan Bertrand,Southampton,Newcastle,0.39804469053487096
