nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
15,192,Sadio Mané,Liverpool,Everton,0.6610798510003582
15,166,Jamie Vardy,Leicester,Watford,0.6136724308535692
15,161,Benjamin Chilwell,Leicester,Watford,0.6102475011314472
15,159,Ricardo Domingos Barbosa Pereira,Leicester,Watford,0.5994488564734033
15,181,Andrew Robertson,Liverpool,Everton,0.5743871255580434
15,265,Ayoze Pérez,Leicester,Watford,0.5673857537632971
15,164,Çaglar Söyüncü,Leicester,Watford,0.528544506945956
15,162,Jonny Evans,Leicester,Watford,0.5086778869129929
15,168,Kasper Schmeichel,Leicester,Watford,0.5021719746146103
15,431,Christian Pulisic,Chelsea,Aston Villa,0.4920754217000142
15,338,Harry Kane,Tottenham,Man Utd,0.4773039147488317
15,187,Roberto Firmino,Liverpool,Everton,0.4762024652409234
15,191,Mohamed Salah,Liverpool,Everton,0.4722610423893527
15,214,Raheem Sterling,Man City,Burnley,0.4721591803441975
15,171,James Maddison,Leicester,Watford,0.4585346653311109
15,11,Pierre-Emerick Aubameyang,Arsenal,Brighton,0.4561561697997784
15,131,Vicente Guaita,Crystal Palace,Bournemouth,0.442618608819959
15,448,Youri Tielemans,Leicester,Watford,0.4412275836548351
15,182,Trent Alexander-Arnold,Liverpool,Everton,0.4392967530942681
15,553,David Martin,West Ham,Wolves,0.4358331941036176
15,128,Martin Kelly,Crystal Palace,Bournemouth,0.4354379817512203
15,123,Patrick van Aanholt,Crystal Palace,Bournemouth,0.402335405385592
15,70,Lys Mousset,Sheff Utd,Newcastle,0.3887383190655821
15,409,Raúl Jiménez,Wolves,West Ham,0.3808374690146384
15,211,Gabriel Fernando de Jesus,Man City,Burnley,0.3764984363280527
15,106,David Luiz Moreira Marinho,Arsenal,Brighton,0.370149076203731
15,463,Mason Mount,Chelsea,Aston Villa,0.3655425252183736
15,217,Riyad Mahrez,Man City,Burnley,0.35992222818928016
15,467,Calum Chambers,Arsenal,Brighton,0.3582383307466879
15,176,Wilfred Ndidi,Leicester,Watford,0.3578185550817046
15,235,David de Gea,Man Utd,Tottenham,0.355819882896702
15,215,Kevin De Bruyne,Man City,Burnley,0.3534801382942024
15,183,Virgil van Dijk,Liverpool,Everton,0.3525651564622028
15,212,Ederson Santana de Moraes,Man City,Burnley,0.34755741745645385
15,239,Anthony Martial,Man Utd,Tottenham,0.3454125853381599
15,218,Bernardo Mota Veiga de Carvalho e Silva,Man City,Burnley,0.3430039101222247
15,342,Heung-Min Son,Tottenham,Man Utd,0.340366725940252
15,111,Kepa Arrizabalaga,Chelsea,Aston Villa,0.33620504690405195
15,494,Aaron Ramsdale,Bournemouth,Crystal Palace,0.3321522029575684
15,84,James Tarkowski,Burnley,Man City,0.33199350796476745
15,133,Wilfried Zaha,Crystal Palace,Bournemouth,0.3311640584387531
15,498,Jetro Willems,Newcastle,Sheff Utd,0.3265660759887698
15,42,Lewis Dunk,Brighton,Arsenal,0.32281486069504745
15,113,Willian Borges Da Silva,Chelsea,Aston Villa,0.32247782958700083
15,172,Harvey Barnes,Leicester,Watford,0.3213377380737248
15,91,Chris Wood,Burnley,Man City,0.3202602406672992
15,526,Adrián San Miguel del Castillo,Liverpool,Everton,0.315987888932802
15,122,Aaron Wan-Bissaka,Man Utd,Tottenham,0.31328055783391706
15,114,Pedro Rodríguez Ledesma,Chelsea,Aston Villa,0.3119923939302495
15,534,Aaron Connolly,Brighton,Arsenal,0.3116999248254029
15,287,Todd Cantwell,Norwich,Southampton,0.30778340982336505
15,116,Callum Hudson-Odoi,Chelsea,Aston Villa,0.30434759000806144
15,12,Alexandre Lacazette,Arsenal,Brighton,0.3032156463909957
15,207,John Stones,Man City,Burnley,0.2999038686562752
15,189,Alisson Ramses Becker,Liverpool,Everton,0.2966368343757129
15,167,Kelechi Iheanacho,Leicester,Watford,0.2915378696880207
15,297,John Lundstram,Sheff Utd,Newcastle,0.29134146566118824
15,233,Marcus Rashford,Man Utd,Tottenham,0.2912310670820414
15,14,Bernd Leno,Arsenal,Brighton,0.29095916457253
15,204,Benjamin Mendy,Man City,Burnley,0.2884009787405805
15,150,Richarlison de Andrade,Everton,Liverpool,0.2834098718781575
15,504,Gabriel Teodoro Martinelli Silva,Arsenal,Brighton,0.283255169497006
15,59,Nathan Aké,Bournemouth,Crystal Palace,0.28298713705554124
15,278,Teemu Pukki,Norwich,Southampton,0.2809707599094083
15,376,Aaron Cresswell,West Ham,Wolves,0.27951431197722315
15,225,Victor Lindelöf,Man Utd,Tottenham,0.2791385939609138
15,344,Bamidele Alli,Tottenham,Man Utd,0.2788792723709019
15,107,Emerson Palmieri dos Santos,Chelsea,Aston Villa,0.2782848211101364
15,1,Shkodran Mustafi,Arsenal,Brighton,0.2781571101697167
15,90,Ashley Barnes,Burnley,Man City,0.2776590466675616
15,341,Paulo Gazzaniga,Tottenham,Man Utd,0.2755316670806507
15,432,Mateo Kovacic,Chelsea,Aston Villa,0.2747749015411979
15,471,Dean Henderson,Sheff Utd,Newcastle,0.2746890889635265
15,110,Olivier Giroud,Chelsea,Aston Villa,0.27065276240152064
15,193,Alex Oxlade-Chamberlain,Liverpool,Everton,0.2696805675782336
15,21,Matteo Guendouzi,Arsenal,Brighton,0.2684977617689823
15,199,Georginio Wijnaldum,Liverpool,Everton,0.26842599922817645
15,65,Diego Rico,Bournemouth,Crystal Palace,0.2659063956544871
15,321,James Ward-Prowse,Southampton,Norwich,0.26572764335456484
15,410,Diogo Jota,Wolves,West Ham,0.2655154819503845
15,331,Toby Alderweireld,Tottenham,Man Utd,0.2640882390028469
15,134,Luka Milivojevic,Crystal Palace,Bournemouth,0.2640513759075201
15,119,N'Golo Kanté,Chelsea,Aston Villa,0.2636364006156787
15,313,Danny Ings,Southampton,Norwich,0.2635030111017591
15,67,Callum Wilson,Bournemouth,Crystal Palace,0.26232401601768524
15,138,James McArthur,Crystal Palace,Bournemouth,0.2586938361517795
15,336,Serge Aurier,Tottenham,Man Utd,0.2572756589164896
15,423,Chris Basham,Sheff Utd,Newcastle,0.25513477752740943
15,203,Kyle Walker,Man City,Burnley,0.2533154545785577
15,293,Jack O'Connell,Sheff Utd,Newcastle,0.2527463564356856
15,243,Daniel James,Man Utd,Tottenham,0.252488184640071
15,174,Marc Albrighton,Leicester,Watford,0.2522206131631176
15,294,George Baldock,Sheff Utd,Newcastle,0.25039061350018976
15,262,Martin Dubravka,Newcastle,Sheff Utd,0.2494014417761605
15,377,Angelo Ogbonna,West Ham,Wolves,0.248112269156928
15,94,Tom Heaton,Aston Villa,Chelsea,0.2465772497379574
15,219,David Silva,Man City,Burnley,0.2465011564695523
15,234,Mason Greenwood,Man Utd,Tottenham,0.24570231977209295
15,188,Divock Origi,Liverpool,Everton,0.2455294162410487
15,345,Lucas Rodrigues Moura da Silva,Tottenham,Man Utd,0.2442453290943543
15,93,Nick Pope,Burnley,Man City,0.24405251982064305
15,242,Juan Mata,Man Utd,Tottenham,0.2434738973090155
15,291,Enda Stevens,Sheff Utd,Newcastle,0.24289826120748725
15,271,Isaac Hayden,Newcastle,Sheff Utd,0.2428130815519847
15,195,Adam Lallana,Liverpool,Everton,0.24102950244511434
15,221,Fernando Luiz Rosa,Man City,Burnley,0.24011327964496135
15,19,Lucas Torreira,Arsenal,Brighton,0.23843790761127376
15,160,Harry Maguire,Man Utd,Tottenham,0.2379268791881813
15,31,John McGinn,Aston Villa,Chelsea,0.2368656446887142
