nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
25,214,Raheem Sterling,Man City,Tottenham,0.6184010057171766
25,239,Anthony Martial,Man Utd,Wolves,0.4971646752517573
25,262,Martin Dubravka,Newcastle,Norwich,0.4933671386261247
25,183,Virgil van Dijk,Liverpool,Southampton,0.4815355533251843
25,258,Jamaal Lascelles,Newcastle,Norwich,0.4776319607339989
25,187,Roberto Firmino,Liverpool,Southampton,0.4624889123873364
25,191,Mohamed Salah,Liverpool,Southampton,0.4546488883814519
25,182,Trent Alexander-Arnold,Liverpool,Southampton,0.4518257919374162
25,211,Gabriel Fernando de Jesus,Man City,Tottenham,0.4339688394930911
25,181,Andrew Robertson,Liverpool,Southampton,0.42254370319079226
25,131,Vicente Guaita,Crystal Palace,Sheff Utd,0.39924711847748456
25,189,Alisson Ramses Becker,Liverpool,Southampton,0.3972959214363605
25,203,Kyle Walker,Man City,Tottenham,0.39500254638436494
25,457,Sébastien Haller,West Ham,Brighton,0.3920175363893578
25,212,Ederson Santana de Moraes,Man City,Tottenham,0.3882464914288567
25,271,Isaac Hayden,Newcastle,Norwich,0.3821539280489134
25,184,Joseph Gomez,Liverpool,Southampton,0.3792852494236763
25,471,Dean Henderson,Sheff Utd,Crystal Palace,0.3672424894718873
25,91,Chris Wood,Burnley,Arsenal,0.3628409656149656
25,198,Jordan Henderson,Liverpool,Southampton,0.3538272236645194
25,254,Federico Fernández,Newcastle,Norwich,0.35097222770591696
25,12,Alexandre Lacazette,Arsenal,Burnley,0.350762705593748
25,503,Gary Cahill,Crystal Palace,Sheff Utd,0.3501403972376918
25,217,Riyad Mahrez,Man City,Tottenham,0.34873620450900433
25,494,Aaron Ramsdale,Bournemouth,Aston Villa,0.3467307124501857
25,168,Kasper Schmeichel,Leicester,Chelsea,0.3467139814631739
25,466,Joelinton Cássio Apolinário de Lira,Newcastle,Norwich,0.3419616836997145
25,363,Gerard Deulofeu,Watford,Everton,0.33887169795106065
25,47,Mathew Ryan,Brighton,West Ham,0.3383467786818084
25,93,Nick Pope,Burnley,Arsenal,0.3341516448517209
25,84,James Tarkowski,Burnley,Arsenal,0.3340691966454276
25,265,Ayoze Pérez,Leicester,Chelsea,0.3263312044910853
25,502,Neal Maupay,Brighton,West Ham,0.3244468828681022
25,606,Darren Randolph,West Ham,Brighton,0.3229155105582913
25,409,Raúl Jiménez,Wolves,Man Utd,0.32287877407758203
25,124,James Tomkins,Crystal Palace,Sheff Utd,0.3214414705980061
25,141,Lucas Digne,Everton,Watford,0.31868012915251426
25,344,Bamidele Alli,Tottenham,Man City,0.3169766520033237
25,356,Adrian Mariappa,Watford,Everton,0.3129956660957481
25,342,Heung-Min Son,Tottenham,Man City,0.3127934631294817
25,215,Kevin De Bruyne,Man City,Tottenham,0.3119444041626089
25,362,Troy Deeney,Watford,Everton,0.31033551895632144
25,171,James Maddison,Leicester,Chelsea,0.3101132781498908
25,138,James McArthur,Crystal Palace,Sheff Utd,0.30794176138076085
25,29,Jack Grealish,Aston Villa,Bournemouth,0.306844839816053
25,159,Ricardo Domingos Barbosa Pereira,Leicester,Chelsea,0.3066018243950722
25,379,Pablo Zabaleta,West Ham,Brighton,0.30624534079521065
25,147,Dominic Calvert-Lewin,Everton,Watford,0.3058129830790248
25,235,David de Gea,Man Utd,Wolves,0.3053221134657758
25,505,Harry Wilson,Bournemouth,Aston Villa,0.3041274084268279
25,516,Aaron Mooy,Brighton,West Ham,0.3035150276865976
25,162,Jonny Evans,Leicester,Chelsea,0.3010900572171521
25,85,Matthew Lowton,Burnley,Arsenal,0.2962927115842389
25,42,Lewis Dunk,Brighton,West Ham,0.2960652310816744
25,243,Daniel James,Man Utd,Wolves,0.29137409578269435
25,287,Todd Cantwell,Norwich,Newcastle,0.2867514109556991
25,417,Adama Traoré,Wolves,Man Utd,0.2859663371708444
25,468,Jordan Ayew,Crystal Palace,Sheff Utd,0.28319326659836835
25,278,Teemu Pukki,Norwich,Newcastle,0.2818010407254946
25,59,Nathan Aké,Bournemouth,Aston Villa,0.2816363893757623
25,83,Ben Mee,Burnley,Arsenal,0.2808942970926655
25,488,Nicolas Pépé,Arsenal,Burnley,0.28069700744382786
25,244,Frederico Rodrigues de Paula Santos,Man Utd,Wolves,0.2783724188506317
25,160,Harry Maguire,Man Utd,Wolves,0.2758880846588057
25,242,Juan Mata,Man Utd,Wolves,0.2748982832054385
25,277,Grant Hanley,Norwich,Newcastle,0.2733968612012219
25,101,Ashley Westwood,Burnley,Arsenal,0.27240784792489864
25,460,Tammy Abraham,Chelsea,Leicester,0.27232694508275546
25,57,Dale Stephens,Brighton,West Ham,0.2717701240649342
25,87,Charlie Taylor,Burnley,Arsenal,0.2676517890715217
25,448,Youri Tielemans,Leicester,Chelsea,0.2663447447827328
25,199,Georginio Wijnaldum,Liverpool,Southampton,0.2634997587042434
