nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
3,338,Harry Kane,Tottenham,Newcastle,0.6550851894437663
3,358,Craig Cathcart,Watford,West Ham,0.6507454226388868
3,362,Troy Deeney,Watford,West Ham,0.6389252252167882
3,235,David de Gea,Man Utd,Crystal Palace,0.6379897612783816
3,369,Roberto Pereyra,Watford,West Ham,0.6290012853027452
3,368,Abdoulaye Doucouré,Watford,West Ham,0.6180358152560254
3,160,Harry Maguire,Man Utd,Crystal Palace,0.6165403598969921
3,212,Ederson Santana de Moraes,Man City,Bournemouth,0.6132148148404899
3,340,Hugo Lloris,Tottenham,Newcastle,0.6058800860013289
3,353,José Holebas,Watford,West Ham,0.6055590095222237
3,47,Mathew Ryan,Brighton,Southampton,0.6045414654596365
3,345,Lucas Rodrigues Moura da Silva,Tottenham,Newcastle,0.5975335323964716
3,42,Lewis Dunk,Brighton,Southampton,0.5907867819095918
3,210,Sergio Agüero,Man City,Bournemouth,0.589245787173541
3,276,Jamal Lewis,Norwich,Chelsea,0.5828070155828478
3,471,Dean Henderson,Sheff Utd,Leicester,0.5792836789949704
3,218,Bernardo Mota Veiga de Carvalho e Silva,Man City,Bournemouth,0.5716017139882948
3,46,Florin Andone,Brighton,Southampton,0.56502312481767
3,357,Francisco Femenía Far,Watford,West Ham,0.5604313777880118
3,122,Aaron Wan-Bissaka,Man Utd,Crystal Palace,0.5523752265034579
3,391,Manuel Lanzini,West Ham,Watford,0.5451467377705255
3,442,Tanguy Ndombele,Tottenham,Newcastle,0.5435622228203849
3,278,Teemu Pukki,Norwich,Chelsea,0.5300915094500203
3,148,Jordan Pickford,Everton,Aston Villa,0.5263119930788567
3,333,Davinson Sánchez,Tottenham,Newcastle,0.5260072044521074
3,343,Christian Eriksen,Tottenham,Newcastle,0.5246284290214441
3,238,Paul Pogba,Man Utd,Crystal Palace,0.5123980264639479
3,421,Leandro Trossard,Brighton,Southampton,0.5116216237488654
3,366,Ben Foster,Watford,West Ham,0.5078845208504325
3,331,Toby Alderweireld,Tottenham,Newcastle,0.5066948704577053
3,217,Riyad Mahrez,Man City,Bournemouth,0.506625077174315
3,150,Richarlison de Andrade,Everton,Aston Villa,0.5017565902992881
3,226,Luke Shaw,Man Utd,Crystal Palace,0.4898560633291998
3,233,Marcus Rashford,Man Utd,Crystal Palace,0.4890891887484599
3,239,Anthony Martial,Man Utd,Crystal Palace,0.4854710666538957
3,337,Kyle Walker-Peters,Tottenham,Newcastle,0.4802169252524855
3,225,Victor Lindelöf,Man Utd,Crystal Palace,0.4783699941832094
3,142,Yerry Mina,Everton,Aston Villa,0.4742385367177281
3,192,Sadio Mané,Liverpool,Arsenal,0.4692236727484578
3,475,Dan Burn,Brighton,Southampton,0.4676632439267198
3,203,Kyle Walker,Man City,Bournemouth,0.4648461976949802
3,332,Danny Rose,Tottenham,Newcastle,0.4635307966052205
3,151,Gylfi Sigurdsson,Everton,Aston Villa,0.4619913816380079
3,54,Davy Pröpper,Brighton,Southampton,0.4593334067977712
3,211,Gabriel Fernando de Jesus,Man City,Bournemouth,0.4565620662678993
3,183,Virgil van Dijk,Liverpool,Arsenal,0.4528328067845598
3,287,Todd Cantwell,Norwich,Chelsea,0.4524187410798521
3,439,Craig Dawson,Watford,West Ham,0.4409155019336524
3,234,Mason Greenwood,Man Utd,Crystal Palace,0.4406169743086428
3,363,Gerard Deulofeu,Watford,West Ham,0.4403001433032024
3,187,Roberto Firmino,Liverpool,Arsenal,0.43993643392563053
3,188,Divock Origi,Liverpool,Arsenal,0.4397489667255556
3,409,Raúl Jiménez,Wolves,Burnley,0.4354749903707916
3,202,Aymeric Laporte,Man City,Bournemouth,0.4354738709500213
3,346,Erik Lamela,Tottenham,Newcastle,0.4341280984456711
3,285,Marco Stiepermann,Norwich,Chelsea,0.4303762331841053
3,280,Tim Krul,Norwich,Chelsea,0.4287006812153333
3,191,Mohamed Salah,Liverpool,Arsenal,0.4286076283275007
3,206,Oleksandr Zinchenko,Man City,Bournemouth,0.427471916044698
3,143,Michael Keane,Everton,Aston Villa,0.4255448477956026
3,200,James Milner,Liverpool,Arsenal,0.4232043011956447
3,502,Neal Maupay,Brighton,Southampton,0.4228104888488116
