nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
5,214,Raheem Sterling,Man City,Norwich,0.8078446072103422
5,11,Pierre-Emerick Aubameyang,Arsenal,Watford,0.7212981357984474
5,488,Nicolas Pépé,Arsenal,Watford,0.6980839891849384
5,191,Mohamed Salah,Liverpool,Newcastle,0.6637388278388681
5,215,Kevin De Bruyne,Man City,Norwich,0.6050474590548596
5,182,Trent Alexander-Arnold,Liverpool,Newcastle,0.6028134496915334
5,210,Sergio Agüero,Man City,Norwich,0.5982207727934259
5,192,Sadio Mané,Liverpool,Newcastle,0.5787705891025406
5,183,Virgil van Dijk,Liverpool,Newcastle,0.5769706581800758
5,187,Roberto Firmino,Liverpool,Newcastle,0.5732417265333679
5,181,Andrew Robertson,Liverpool,Newcastle,0.5425127616758019
5,219,David Silva,Man City,Norwich,0.5380992649176757
5,526,Adrián San Miguel del Castillo,Liverpool,Newcastle,0.4991619917131846
5,217,Riyad Mahrez,Man City,Norwich,0.4901169909728463
5,21,Matteo Guendouzi,Arsenal,Watford,0.4768635984715952
5,203,Kyle Walker,Man City,Norwich,0.4600022304338845
5,378,Arthur Masuaku,West Ham,Aston Villa,0.4592819241211255
5,377,Angelo Ogbonna,West Ham,Aston Villa,0.4587027406386044
5,150,Richarlison de Andrade,Everton,Bournemouth,0.4556214664157784
5,338,Harry Kane,Tottenham,Crystal Palace,0.4555403034215037
5,141,Lucas Digne,Everton,Bournemouth,0.4473923956697269
5,206,Oleksandr Zinchenko,Man City,Norwich,0.4446329491245368
5,409,Raúl Jiménez,Wolves,Chelsea,0.4424465541987195
5,218,Bernardo Mota Veiga de Carvalho e Silva,Man City,Norwich,0.44089685036885
5,188,Divock Origi,Liverpool,Newcastle,0.4383565090437881
5,118,Jorge Luiz Frello Filho,Chelsea,Wolves,0.4312009770094724
5,185,Joel Matip,Liverpool,Newcastle,0.418736190959532
5,431,Christian Pulisic,Chelsea,Wolves,0.41731357194861135
5,238,Paul Pogba,Man Utd,Leicester,0.414995519203723
5,428,Wesley Moraes,Aston Villa,West Ham,0.4119083795148277
5,405,Willy Boly,Wolves,Chelsea,0.4090216370024993
5,331,Toby Alderweireld,Tottenham,Crystal Palace,0.4083745630900923
5,42,Lewis Dunk,Brighton,Burnley,0.4043320605303171
5,233,Marcus Rashford,Man Utd,Leicester,0.4033260408343731
5,460,Tammy Abraham,Chelsea,Wolves,0.40108046814438814
5,212,Ederson Santana de Moraes,Man City,Norwich,0.40037136298774667
5,388,Lukasz Fabianski,West Ham,Aston Villa,0.3994664449383589
5,197,Fabio Henrique Tavares,Liverpool,Newcastle,0.39915652145690506
5,12,Alexandre Lacazette,Arsenal,Watford,0.39549353011996535
5,340,Hugo Lloris,Tottenham,Crystal Palace,0.3949913919886764
5,410,Diogo Jota,Wolves,Chelsea,0.3927652267995175
5,122,Aaron Wan-Bissaka,Man Utd,Leicester,0.39243253079505175
5,31,John McGinn,Aston Villa,West Ham,0.3890679272742621
5,29,Jack Grealish,Aston Villa,West Ham,0.3836333664482207
5,502,Neal Maupay,Brighton,Burnley,0.3770345099562155
5,404,Ryan Bennett,Wolves,Chelsea,0.37702144112641744
5,90,Ashley Barnes,Burnley,Brighton,0.3759994270974728
5,406,Rúben Gonçalo Silva Nascimento Vinagre,Wolves,Chelsea,0.3743832915295303
5,67,Callum Wilson,Bournemouth,Everton,0.37284141961987904
5,381,Issa Diop,West Ham,Aston Villa,0.3720448169175967
5,117,Ross Barkley,Chelsea,Wolves,0.3701702288098624
5,128,Martin Kelly,Crystal Palace,Tottenham,0.3684701356908833
5,343,Christian Eriksen,Tottenham,Crystal Palace,0.3660703406746433
5,420,Leander Dendoncker,Wolves,Chelsea,0.3660154755147443
5,496,Moise Kean,Everton,Bournemouth,0.3640881745351429
5,208,Nicolás Otamendi,Man City,Norwich,0.3623381935773324
5,142,Yerry Mina,Everton,Bournemouth,0.3586998992163672
5,151,Gylfi Sigurdsson,Everton,Bournemouth,0.3580944904644491
5,505,Harry Wilson,Bournemouth,Everton,0.35635301607245223
5,390,Felipe Anderson Pereira Gomes,West Ham,Aston Villa,0.3525232110152289
5,68,Joshua King,Bournemouth,Everton,0.34916468798725325
5,414,Rúben Diogo da Silva Neves,Wolves,Chelsea,0.3478843223808377
5,75,Ryan Fraser,Bournemouth,Everton,0.3462301362785499
5,457,Sébastien Haller,West Ham,Aston Villa,0.3411689230400459
5,421,Leandro Trossard,Brighton,Burnley,0.3407111550618412
5,105,César Azpilicueta,Chelsea,Wolves,0.34052920172263
5,4,Ainsley Maitland-Niles,Arsenal,Watford,0.33935571793964064
5,415,João Filipe Iria Santos Moutinho,Wolves,Chelsea,0.3379033458860277
5,63,Adam Smith,Bournemouth,Everton,0.33428773937510353
5,93,Nick Pope,Burnley,Brighton,0.3321451395689457
5,143,Michael Keane,Everton,Bournemouth,0.3321196009998701
5,58,Steve Cook,Bournemouth,Everton,0.3297098051059152
5,391,Manuel Lanzini,West Ham,Aston Villa,0.3265094017473774
5,111,Kepa Arrizabalaga,Chelsea,Wolves,0.3251745597484048
5,61,Chris Mepham,Bournemouth,Everton,0.32454857224893713
5,91,Chris Wood,Burnley,Brighton,0.3240411533857266
5,19,Lucas Torreira,Arsenal,Watford,0.3229483769686456
5,144,Seamus Coleman,Everton,Bournemouth,0.3223378444064253
5,148,Jordan Pickford,Everton,Bournemouth,0.3216276279521917
5,411,Rui Pedro dos Santos Patrício,Wolves,Chelsea,0.3213936014610361
5,123,Patrick van Aanholt,Crystal Palace,Tottenham,0.32020217985780985
5,463,Mason Mount,Chelsea,Wolves,0.3198706582427133
5,342,Heung-Min Son,Tottenham,Crystal Palace,0.313035273625909
5,468,Jordan Ayew,Crystal Palace,Tottenham,0.3128034965666307
5,297,John Lundstram,Sheff Utd,Southampton,0.31229169679281604
5,44,Glenn Murray,Brighton,Burnley,0.3117238166016236
5,380,Ryan Fredericks,West Ham,Aston Villa,0.3111416826050221
