nextgw,playerid,name,team_name,opponent_nextweek,probability_hit
12,297,John Lundstram,Sheff Utd,Tottenham,0.5948496816849014
12,278,Teemu Pukki,Norwich,Watford,0.5138806596916647
12,168,Kasper Schmeichel,Leicester,Arsenal,0.4960368878507975
12,164,Çaglar Söyüncü,Leicester,Arsenal,0.4809091344794531
12,191,Mohamed Salah,Liverpool,Man City,0.4700459608859833
12,280,Tim Krul,Norwich,Watford,0.4626236854104748
12,159,Ricardo Domingos Barbosa Pereira,Leicester,Arsenal,0.4617431003321871
12,273,Ben Godfrey,Norwich,Watford,0.4558706627609691
12,457,Sébastien Haller,West Ham,Burnley,0.4493157049794775
12,341,Paulo Gazzaniga,Tottenham,Sheff Utd,0.4471478803017409
12,287,Todd Cantwell,Norwich,Watford,0.4375271084594599
12,166,Jamie Vardy,Leicester,Arsenal,0.43268511068498144
12,274,Maximillian Aarons,Norwich,Watford,0.4323181265189003
12,67,Callum Wilson,Bournemouth,Newcastle,0.4307588717140667
12,307,Jan Bednarek,Southampton,Everton,0.4300810547130636
12,11,Pierre-Emerick Aubameyang,Arsenal,Leicester,0.428101573785119
12,233,Marcus Rashford,Man Utd,Brighton,0.41704034085642055
12,276,Jamal Lewis,Norwich,Watford,0.4136795688980535
12,318,Alex McCarthy,Southampton,Everton,0.4135765687640528
12,162,Jonny Evans,Leicester,Arsenal,0.41179280575998345
12,113,Willian Borges Da Silva,Chelsea,Crystal Palace,0.4096509040868915
12,192,Sadio Mané,Liverpool,Man City,0.4038134295480721
12,304,Jannik Vestergaard,Southampton,Everton,0.3975472905964164
12,90,Ashley Barnes,Burnley,West Ham,0.3932578211388169
12,172,Harvey Barnes,Leicester,Arsenal,0.3882753050919209
12,150,Richarlison de Andrade,Everton,Southampton,0.3807533064025112
12,161,Benjamin Chilwell,Leicester,Arsenal,0.3787562031886169
12,122,Aaron Wan-Bissaka,Man Utd,Brighton,0.3694248972510337
12,308,Jack Stephens,Southampton,Everton,0.3686530627981137
12,265,Ayoze Pérez,Leicester,Arsenal,0.3656412635281267
12,505,Harry Wilson,Bournemouth,Newcastle,0.3654107820647232
12,68,Joshua King,Bournemouth,Newcastle,0.3650667297167393
12,65,Diego Rico,Bournemouth,Newcastle,0.363747375402424
12,344,Bamidele Alli,Tottenham,Sheff Utd,0.3631789732177285
12,283,Emiliano Buendía,Norwich,Watford,0.3624435778034496
12,243,Daniel James,Man Utd,Brighton,0.3622744043225525
12,171,James Maddison,Leicester,Arsenal,0.3592600708012138
12,248,Scott McTominay,Man Utd,Brighton,0.3585351241388627
12,59,Nathan Aké,Bournemouth,Newcastle,0.3573222224326723
12,235,David de Gea,Man Utd,Brighton,0.35704772106418325
12,182,Trent Alexander-Arnold,Liverpool,Man City,0.3560329888325446
12,290,Tom Trybull,Norwich,Watford,0.34873232235827545
12,116,Callum Hudson-Odoi,Chelsea,Crystal Palace,0.3486719929778053
12,271,Isaac Hayden,Newcastle,Bournemouth,0.3477367167068667
12,342,Heung-Min Son,Tottenham,Sheff Utd,0.3468281639661657
